Timestamp,Total,Syracuse - Alpha Chi Omega,Syracuse - Alpha Epsilon Phi,Syracuse - Alpha Gamma Delta,Syracuse - Alpha Phi,Syracuse - Alpha Xi Delta,Syracuse - Delta Delta Delta,Syracuse - Delta Gamma,Syracuse - Delta Phi Epsilon,Syracuse - Fall Pledge Class 2025,Syracuse - Gamma Phi Beta,Syracuse - Kappa Alpha Theta,Syracuse - Kappa Kappa Gamma,Syracuse - Phi Sigma Sigma,Syracuse - Sigma Delta Tau
2026-04-12 20:42:51,100493.35,5151.20,2318.58,710.50,9281.91,2096.91,6589.18,3939.56,1861.13,11016.50,9728.00,2958.84,26347.87,2962.05,5706.30
2026-04-12 20:46:26,100749.35,5151.20,2318.58,710.50,9281.91,2111.91,6589.18,3964.56,1861.13,11068.00,9779.50,2958.84,26357.87,3065.05,5706.30
2026-04-12 20:47:57,100874.35,5151.20,2318.58,710.50,9281.91,2111.91,6589.18,3964.56,1861.13,11068.00,9804.50,2958.84,26457.87,3065.05,5706.30
2026-04-12 20:48:28,100924.35,5151.20,2318.58,710.50,9281.91,2111.91,6589.18,3964.56,1861.13,11068.00,9804.50,2958.84,26507.87,3065.05,5706.30
2026-04-12 20:48:58,100999.35,5151.20,2318.58,710.50,9306.91,2111.91,6589.18,3964.56,1861.13,11068.00,9804.50,2958.84,26507.87,3115.05,5706.30
2026-04-12 20:49:59,101099.35,5151.20,2318.58,710.50,9306.91,2111.91,6689.18,3964.56,1861.13,11068.00,9804.50,2958.84,26507.87,3115.05,5706.30
2026-04-12 20:50:29,101125.10,5151.20,2318.58,710.50,9306.91,2111.91,6689.18,3964.56,1861.13,11068.00,9830.25,2958.84,26507.87,3115.05,5706.30
2026-04-12 20:52:30,101176.60,5151.20,2318.58,710.50,9306.91,2163.41,6689.18,3964.56,1861.13,11068.00,9830.25,2958.84,26507.87,3115.05,5706.30
2026-04-12 20:54:32,101202.35,5151.20,2318.58,710.50,9306.91,2163.41,6689.18,3964.56,1861.13,11068.00,9856.00,2958.84,26507.87,3115.05,5706.30
2026-04-12 20:55:02,101252.35,5151.20,2318.58,710.50,9306.91,2163.41,6689.18,3964.56,1861.13,11118.00,9856.00,2958.84,26507.87,3115.05,5706.30
2026-04-12 20:55:33,101302.35,5151.20,2318.58,710.50,9306.91,2163.41,6689.18,3964.56,1861.13,11118.00,9856.00,2958.84,26507.87,3115.05,5706.30
2026-04-12 20:56:33,101902.35,5251.20,2818.58,710.50,9306.91,2163.41,6689.18,3964.56,1861.13,11118.00,9856.00,2958.84,26507.87,3115.05,5706.30
2026-04-12 20:58:04,102002.35,5251.20,2818.58,710.50,9406.91,2163.41,6689.18,3964.56,1861.13,11118.00,9856.00,2958.84,26507.87,3115.05,5706.30
2026-04-12 21:01:06,102052.35,5251.20,2818.58,710.50,9406.91,2163.41,6739.18,3964.56,1861.13,11118.00,9856.00,2958.84,26507.87,3115.05,5706.30
2026-04-12 21:04:39,102103.85,5251.20,2818.58,710.50,9406.91,2163.41,6739.18,3964.56,1861.13,11118.00,9907.50,2958.84,26507.87,3115.05,5706.30
2026-04-12 21:09:13,102128.85,5251.20,2818.58,710.50,9431.91,2163.41,6739.18,3964.56,1861.13,11118.00,9907.50,2958.84,26507.87,3115.05,5706.30
2026-04-12 21:10:13,102378.85,5251.20,2818.58,960.50,9431.91,2163.41,6739.18,3964.56,1861.13,11118.00,9907.50,2958.84,26507.87,3115.05,5706.30
2026-04-12 21:13:15,102428.85,5251.20,2818.58,960.50,9431.91,2163.41,6739.18,3964.56,1911.13,11118.00,9907.50,2958.84,26507.87,3115.05,5706.30
2026-04-12 21:17:18,102581.85,5301.20,2818.58,960.50,9431.91,2163.41,6739.18,4067.56,1911.13,11118.00,9907.50,2958.84,26507.87,3115.05,5706.30
2026-04-12 21:19:20,102633.35,5301.20,2818.58,960.50,9431.91,2214.91,6739.18,4067.56,1911.13,11118.00,9907.50,2958.84,26507.87,3115.05,5706.30
2026-04-12 21:20:20,102684.85,5301.20,2818.58,960.50,9431.91,2214.91,6739.18,4067.56,1911.13,11169.50,9907.50,2958.84,26507.87,3115.05,5706.30
2026-04-12 21:20:51,102736.35,5301.20,2818.58,960.50,9431.91,2266.41,6739.18,4067.56,1911.13,11169.50,9907.50,2958.84,26507.87,3115.05,5706.30
2026-04-12 21:21:51,102839.35,5301.20,2818.58,960.50,9431.91,2266.41,6739.18,4067.56,1911.13,11169.50,9907.50,2958.84,26610.87,3115.05,5706.30
